"","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04"
"Smp_067540",0,2,2,6,0,2,0,2
"Smp_068510",6,2,0,0,2,2,0,2
"Smp_068750",4,6,1,12,6,20,8,27
"Smp_068920",1,0,3,3,1,4,0,0
"Smp_069130",6,2,6,4,4,0,0,10
"Smp_069160",14,0,2,6,1,12,1,8
"Smp_069760",0,0,2,2,2,4,0,0
"Smp_069960",2,0,0,6,0,4,0,9
"Smp_070680",2,2,2,4,2,2,2,0
"Smp_070860",2,0,2,4,2,6,2,2
"Smp_071250",2,0,6,2,2,2,0,2
"Smp_071390",30,2,10,12,2,18,2,8
"Smp_071470",2,0,4,0,2,4,0,4
"Smp_071550",69,25,35,38,10,71,10,53
"Smp_071560",24,11,10,17,6,15,0,14
"Smp_071630",0,0,2,2,0,4,0,2
"Smp_071830",15,0,4,7,0,6,2,5
"Smp_072080",7,5,2,11,1,2,0,2
"Smp_072090",15,2,6,4,4,6,0,13
"Smp_072140",0,0,2,4,2,6,0,2
"Smp_072320",3,5,5,1,4,3,1,13
"Smp_072330",6,2,6,8,22,19,0,62
"Smp_072340",8,0,4,8,1,3,0,15
"Smp_072360",0,2,4,3,0,2,0,0
"Smp_072370",6,0,0,5,0,2,0,2
"Smp_072720",2,2,2,0,4,4,0,4
"Smp_072790",1,0,0,1,3,3,0,3
"Smp_072900",10,8,8,10,3,10,2,16
"Smp_073340",0,0,0,6,7,2,1,10
"Smp_073470",2,0,0,2,0,4,0,2
"Smp_073620",0,0,2,0,2,8,0,2
"Smp_073880",10,0,6,10,4,10,0,4
"Smp_073940",2,0,4,7,2,2,0,0
"Smp_074000",8,4,0,0,12,6,0,2
"Smp_074050",6,0,2,2,2,4,0,2
"Smp_074140",2,2,2,8,6,3,0,7
"Smp_074700",2,2,2,4,6,8,2,0
"Smp_074930",0,0,4,2,0,14,0,4
"Smp_074950",2,0,4,2,0,2,0,0
"Smp_075120",2,0,0,6,0,4,0,4
"Smp_075210",4,0,0,8,2,4,0,0
"Smp_075440",4,1,6,1,4,0,0,4
"Smp_076010",2,2,0,8,2,4,0,0
"Smp_076530",6,0,0,0,4,2,4,2
"Smp_076660",0,0,0,4,2,2,0,2
"Smp_077020",12,1,6,2,0,8,1,0
"Smp_078230",2,0,0,2,0,2,2,2
"Smp_078320",4,0,2,2,2,6,0,4
"Smp_078590",6,0,12,22,4,28,2,22
"Smp_079220",6,4,4,10,2,14,2,10
"Smp_079230",8,0,6,3,8,20,0,2
"Smp_079270",2,1,4,0,2,0,0,1
"Smp_079310",0,2,2,2,2,2,0,2
"Smp_079430",6,2,2,2,6,4,0,4
"Smp_079490",0,0,0,2,2,6,0,4
"Smp_079650",4,1,0,5,0,4,0,0
"Smp_079700",31,17,27,35,12,24,3,34
"Smp_079730",14,4,5,15,2,11,2,13
"Smp_079740",12,5,12,12,5,5,3,14
"Smp_079770",4,0,2,2,2,6,0,4
"Smp_079920",4,0,0,4,0,4,0,4
"Smp_079960",4,0,3,8,4,9,0,5
"Smp_079970",0,0,3,7,0,6,0,1
"Smp_080280",4,0,4,8,4,6,0,8
"Smp_080370",2,0,0,2,0,2,0,6
"Smp_080530",0,0,0,2,2,4,0,2
"Smp_080840",3,3,2,4,2,5,0,4
"Smp_080920",0,0,2,14,8,10,0,4
